MASV,HOTEN,PHAI,NGSINH,DCHI,DT,KHOA,TINHTRANG
"20A536166","Bùi Thị Dũng","0","2003-09-02","Q.1, TP.HCM","0243119698","CNTT","Đã tốt nghiệp"
"20A864352","Hoàng Thị Phúc","1","2005-10-23","TP. Đà Nẵng","0855307196","VATLY","Đã tốt nghiệp"
"20A475349","Bùi Ngọc Dũng","0","2000-08-01","Q.10, TP.HCM","0721855380","VATLY","Bảo lưu kết quả học tập"
"20A110584","Vũ Minh Nam","1","2003-07-08","Q.3, TP.HCM","0516666687","HOA","Bảo lưu kết quả học tập"
"20A921624","Phạm Minh Dũng","1","2005-02-05","TP. Thủ Đức","0515056651","TOAN","Đã tốt nghiệp"
"20A355087","Phan Gia Hà","0","2006-02-19","TP. Hà Nội","0943604938","VATLY","Đang học"
"20A135403","Hoàng Hữu Hương","0","2000-06-21","Q.10, TP.HCM","0199236171","HOA","Đã tốt nghiệp"
"20A178637","Phạm Gia Châu","1","2004-09-28","TP. Thủ Đức","0426663612","TOAN","Đang học"
"20A483012","Hoàng Thị Hà","1","2002-02-18","Q.10, TP.HCM","0437445990","VATLY","Đã thôi học"
"20A269894","Phan Hữu Nam","0","2003-06-02","Q.5, TP.HCM","0393566050","KHKT","Đã tốt nghiệp"
"20A226885","Lê Minh Khánh","0","2007-01-13","Q.10, TP.HCM","0747037143","HOA","Bảo lưu kết quả học tập"
"20A353214","Lê Anh Dũng","1","2006-11-26","TP. Đà Nẵng","0837339503","SINH","Đã tốt nghiệp"
"20A136068","Vũ Minh Khánh","0","2003-07-01","TP. Cần Thơ","0248745173","TOAN","Đã thôi học"
"20A928456","Phạm Văn Bình","1","2000-11-12","Q.3, TP.HCM","0934658575","HOA","Đang học"
"20A848927","Nguyễn Văn Phúc","1","2005-10-09","Q.1, TP.HCM","0944025116","KHKT","Đã tốt nghiệp"
"20A592848","Hoàng Ngọc Trang","0","2004-05-12","TP. Hà Nội","0529332369","VATLY","Đã thôi học"
"20A264688","Hoàng Anh Châu","0","2005-02-24","Q.5, TP.HCM","0192240853","CNTT","Đang học"
"20A408938","Vũ Anh An","1","2006-02-03","Q.3, TP.HCM","0688031092","SINH","Đã thôi học"
"20A884050","Vũ Anh Khánh","0","2001-07-24","TP. Biên Hòa","0455319238","TOAN","Đã thôi học"
"20A426151","Bùi Ngọc Dũng","1","2003-09-24","TP. Đà Nẵng","0810757069","TOAN","Đã tốt nghiệp"
